month,nodes,nodes_after_reinvest,demand_equiv_nodes,utilization,revenue_cny,rent_cny,cost_cny,profit_cny,cash_cny,equity_cny,survival_prob,expected_profit_cny,price_index
12,1,1,0.5,0.5,148457.5928432406,150000,166758.9979777512,-18301.405134510598,-172433.26692184113,-172433.26692184113,0.834131968340877,-15265.787088253159,0.8
13,1,1,0.5416666666666666,0.5416666666666666,157866.02955118494,150000,167314.09574351992,-9448.066192334983,-181881.33311417612,-181881.33311417612,0.8216199888157638,-7762.7200392768655,0.7852612238990014
14,1,1,0.5833333333333334,0.5833333333333334,166877.404046553,150000,167845.76683874664,-968.3627921936277,-182849.69590636974,-182849.69590636974,0.8092956889835273,-783.6918330943543,0.7707939871991969
15,1,1,0.625,0.625,175503.15340538087,150000,168354.6860509175,7148.467354463384,-175701.22855190636,-175701.22855190636,0.7971562536487744,5698.4454556145965,0.7565932872025407
16,1,1,0.6666666666666666,0.6666666666666666,183754.42805499144,150000,168841.5112552445,14912.916799746949,-160788.3117521594,-160788.3117521594,0.7851989098440427,11709.606013756214,0.7426542133780447
17,1,1,0.7083333333333334,0.7083333333333334,191642.0984541016,150000,169306.883808792,22335.214645309607,-138453.0971068498,-138453.0971068498,0.773420926196382,17274.522397770354,0.7289719456637418
18,1,1,0.75,0.75,199176.7616240834,150000,169751.42893582094,29425.332688262453,-109027.76441858735,-109027.76441858735,0.7618196123034363,22416.795540471732,0.7155417527999328
19,1,1,0.7916666666666666,0.7916666666666666,206368.74753459578,150000,170175.75610454116,36192.99143005462,-72834.77298853273,-72834.77298853273,0.7503923181188847,27158.942738855618,0.7023589906931399
20,1,1,0.8333333333333334,0.8333333333333334,213228.12534673777,150000,170580.45939545752,42647.66595128024,-30187.107037252485,-30187.107037252485,0.7391364333471014,31522.443701807897,0.6894191008102029
21,1,1,0.875,0.875,219764.709516803,150000,170966.11786149137,48798.59165531164,18611.484618059156,18611.484618059156,0.7280493868468949,35527.784733641645,0.6767176086019611
22,1,1,0.9166666666666666,0.9166666666666666,225988.0657636554,150000,171333.29588005567,54654.76988359974,73266.2545016589,73266.2545016589,0.7171286460441915,39194.50112648273,0.6642501219559767
23,1,1,0.9583333333333334,0.9583333333333334,231907.5169026778,150000,171682.54349725798,60224.97340541982,133491.22790707872,133491.22790707872,0.7063717163535286,42541.217831732014,0.6520123296777639
24,1,1,1.0,1.0,237532.14854918496,150000,172014.39676440193,65517.75178478303,199008.97969186175,199008.97969186175,0.6957761406082257,45585.688478144024,0.6400000000000001
25,1,1,1.0,1.0,233155.98210636547,150000,171756.20294427557,61399.77916208989,260408.75885395164,260408.75885395164,0.6853394984991023,42079.69385890232,0.6282089791192011
26,1,1,1.0,1.0,228860.43983527276,150000,171502.7659502811,57357.67388499167,317766.4327389433,317766.4327389433,0.6750594060216157,38719.83726358402,0.6166351897593576
27,1,1,1.0,1.0,224644.0363588876,150000,171253.99814517438,53390.03821371321,371156.4709526565,371156.4709526565,0.6649335149312915,35500.8257717603,0.6052746297620326
28,1,1,1.0,1.0,220505.31366598973,150000,171009.8135062934,49495.50015969633,420651.97111235285,420651.97111235285,0.6549595122073221,32417.548641052137,0.5941233707024357
29,1,1,1.0,1.0,216442.84060698535,150000,170770.12759581214,45672.71301117321,466324.6841235261,466324.6841235261,0.6451351195242122,29465.07116745827,0.5831775565309935
30,1,1,1.0,1.0,212455.21239902222,150000,170534.8575315423,41920.35486747991,508245.038991006,508245.038991006,0.635458092731349,26638.628750710108,0.5724334022399462
31,1,1,1.0,1.0,208541.05014022312,150000,170303.92195827316,38237.128181949956,546482.1671729559,546482.1671729559,0.6259262213403788,23933.621157835645,0.5618871925545119
32,1,1,1.0,1.0,204699.00033286828,150000,170077.24101963922,34621.759313229064,581103.926486185,581103.926486185,0.6165373280202731,21345.606978339252,0.5515352806481624
33,1,1,1.0,1.0,200927.73441536273,150000,169854.7363305064,31072.998084856343,612176.9245710414,612176.9245710414,0.607289268099969,18870.298264624147,0.541374086881569
34,1,1,1.0,1.0,197225.94830282658,150000,169636.33094986677,27589.617352959816,639766.5419240012,639766.5419240012,0.5981799290784694,16503.555351495612,0.5314000975647813
35,1,1,1.0,1.0,193592.36193614846,150000,169421.94935423275,24170.412581915705,663936.9545059169,663936.9545059169,0.5892072301422924,14241.381848786967,0.5216098637422112
36,1,1,1.0,1.0,190025.718839348,150000,169211.51741152152,20814.201427826483,684751.1559337433,684751.1559337433,0.580369121690158,12079.919801349688,0.5120000000000001
