erosion,cache_hit,hazard,price_multiplier,scenario,irr_annual,payback_month,end_equity_usd,end_equity_going_concern_usd,end_equity_after_tail_usd,peak_capital_usd,end_nodes
0.05911334901687666,0.8746705912101786,0.01594760092996883,0.7533279291109639,中性,,,98830.08210440422,83430.32713545665,98830.08210440422,132514.6870444808,1
0.22119722610116,0.8746735968412309,0.024507537347734806,0.7917478256498162,中性,,,-104482.45293621116,-119882.20790515874,-104482.45293621116,132514.6870444808,1
0.39465261796972884,0.8222624566408745,0.028779866500096028,0.6473914308868165,乐观,,,-227148.19035514933,-242547.94532409692,-227148.19035514933,132514.6870444808,1
0.254829553596483,0.679261202800427,0.019706449999230515,0.8744385460421795,悲观,,,-457916.5058837206,-473316.26085266814,-457916.5058837206,132514.6870444808,1
0.18172718473669863,0.8480958826871171,0.012383975633602246,0.7834192327194205,中性,,,-43536.422624280174,-58936.17759322775,-43536.422624280174,132514.6870444808,1
0.12077095657699664,0.870426054923733,0.024532350885787896,0.6442353643984442,乐观,,,113388.29713218444,97988.54216323687,113388.29713218444,132514.6870444808,1
0.3516800097230981,0.7181380250873693,0.025922414491523455,0.6425678127485531,乐观,,,-148535.52801145415,-163935.28298040174,-148535.52801145415,132514.6870444808,1
0.2662738944426148,0.8060300037341113,0.007261018174603319,0.9588133595586501,悲观,,,-458198.9993149383,-473598.7542838859,-458198.9993149383,132514.6870444808,1
0.09633122321645882,0.6843252500399924,0.024419198517305462,0.6792816908851591,乐观,0.4523892706251269,24.0,188605.23051838626,297542.0369727303,-830136.1584078885,397544.06113344233,3
0.26250761573099607,0.6586790505187271,0.005135745853217512,0.6206631668057595,中性,,,-226958.1915902635,-242357.9465592111,-226958.1915902635,132514.6870444808,1
0.3205927243437661,0.7072526769505733,0.026235221073076822,0.6228927760613041,乐观,,,-123776.5836279454,-139176.33859689298,-123776.5836279454,132514.6870444808,1
0.3711181720689122,0.8353060157850514,0.02245301959946593,0.9351920874621532,悲观,,,-526838.9966574737,-542238.7516264213,-526838.9966574737,132514.6870444808,1
0.08071284428762215,0.6799816830333544,0.017613274754824663,0.8980752513315378,中性,,,72457.27490398307,373819.1008327534,-481140.17426560126,265029.3740889616,2
0.34045243990477403,0.6872511181858618,0.023365527298379037,0.6772165963475616,中性,,,-282259.401690425,-297659.15665937256,-282259.401690425,132514.6870444808,1
0.28396187891252156,0.8852491483756837,0.020288590149426737,0.6218001259965182,中性,,,-306960.04861912684,-322359.8035880744,-306960.04861912684,132514.6870444808,1
0.01694022063206684,0.8621949707280361,0.022739457127515517,0.6692511385690013,悲观,,,-422479.30917604704,-437879.0641449946,-422479.30917604704,132514.6870444808,1
0.0734132915521276,0.8852065230930062,0.016464016061462243,0.9136323793365632,中性,,,79152.94477987477,348766.60409842647,-539021.2799519717,265029.3740889616,2
0.22896525998345496,0.6848312611196119,0.028650611338952376,0.7205370530058872,中性,,,-107723.78156180083,-123123.5365307484,-107723.78156180083,132514.6870444808,1
0.27991037783562644,0.8058159572588741,0.02851486024238796,0.6593755959680232,中性,,,-254615.37041316624,-270015.1253821138,-254615.37041316624,132514.6870444808,1
0.1616137562963064,0.7638004950758284,0.007980438154943615,0.6536378439491061,中性,,,-100156.2750744524,-115556.03004339997,-100156.2750744524,132514.6870444808,1
0.12188184150433252,0.752696771283524,0.020274688675915704,0.8538516469673052,中性,,,156876.9928201258,141477.23785117822,156876.9928201258,132514.6870444808,1
