month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
20,horizon,1,0,0,资金+需求,False,False,True,0.3333333333333333,0.3333333333333333,18215.566162036088,826102773.7884846,8261027737.884846,22085.78117408013,24215.66853550418,-6000.102373468093,0.0,-6000.102373468093,17395.865684744465,-216743.6474322576,44171.56234816026,-172572.08508409734,0.8179069375972307,-4907.525357553163,1.0,16120.776053401933,60292.33840156219
21,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,18306.643992846268,-222674.16634298672,44171.56234816026,-178502.60399482647,0.8097278682212583,-4138.372114973252,1.0,16940.47653069356,61112.03887885382
22,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,18853.11097770735,-228058.21826885475,44171.56234816026,-183886.6559206945,0.8016305895390458,-4096.98839382352,1.0,17213.71002312412,61385.27237128438
23,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-233169.03670229224,44171.56234816026,-188997.474354132,0.7936142836436553,-4056.0185098852844,1.0,17213.71002312412,61385.27237128438
24,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-238279.85513572974,44171.56234816026,-194108.2927875695,0.7856781408072188,-4015.4583247864316,1.0,17213.71002312412,61385.27237128438
25,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-243390.67356916724,44171.56234816026,-199219.11122100698,0.7778213593991465,-3975.303741538567,1.0,17213.71002312412,61385.27237128438
26,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-248501.49200260473,44171.56234816026,-204329.92965444448,0.7700431458051551,-3935.5507041231817,1.0,17213.71002312412,61385.27237128438
27,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-253612.31043604223,44171.56234816026,-209440.74808788198,0.7623427143471035,-3896.1951970819496,1.0,17213.71002312412,61385.27237128438
28,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-258723.12886947973,44171.56234816026,-214551.56652131947,0.7547192872036325,-3857.23324511113,1.0,17213.71002312412,61385.27237128438
29,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-263833.9473029172,44171.56234816026,-219662.38495475694,0.7471720943315961,-3818.6609126600188,1.0,17213.71002312412,61385.27237128438
30,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-268944.7657363547,44171.56234816026,-224773.20338819444,0.7397003733882802,-3780.4743035334186,1.0,17213.71002312412,61385.27237128438
31,horizon,1,0,0,资金+需求,False,False,True,0.35,0.35,19126.34447013789,867407912.4779087,8674079124.779087,22085.78117408013,24237.162903575383,-5110.818433437493,0.0,-5110.818433437493,19126.34447013789,-274055.5841697922,44171.56234816026,-229884.02182163193,0.7323033696543974,-3742.669560498084,1.0,17213.71002312412,61385.27237128438
