month,phase,nodes,pending_nodes,ordered,binding_constraint,cash_ok,demand_ok,supply_ok,demand_equiv_nodes,utilization,revenue_usd,out_tokens,in_tokens,rent_usd,opex_usd,ebt_usd,tax_usd,net_income_usd,cash_in_usd,cash_usd,deposits_usd,equity_usd,survival_prob,expected_net_income_usd,price_index,ar_balance_usd,capital_employed_usd
13,horizon,1,0,0,资金+需求,False,False,True,0.5416666666666666,0.5416666666666666,23243.963889922252,1342417007.4062874,13424170074.062874,22085.78117408013,24334.338721882294,-1090.3748319600418,0.0,-1090.3748319600418,21979.150828682883,-69941.42781468222,44171.56234816026,-25769.86546652196,0.8775210229989678,-956.8268379939035,0.7852612238990014,20503.982152286364,64675.544500446624
14,horizon,1,0,0,资金+需求,False,False,True,0.5833333333333334,0.5833333333333334,24570.785524471492,1445679854.129848,14456798541.298481,22085.78117408013,24365.651712457657,205.13381201383527,0.0,205.13381201383527,23359.107195098266,-70947.97233204161,44171.56234816026,-26776.40998388135,0.8687458127689781,178.20914024435808,0.7707939871991969,21715.66048165958,65887.22282981983
15,horizon,1,0,0,资金+需求,False,False,True,0.625,0.625,25840.82827648172,1548942700.8534086,15489427008.534086,22085.78117408013,24395.6247214051,1445.2035550766195,0.0,1445.2035550766195,24680.75613491081,-70662.84091853589,44171.56234816026,-26491.27857037563,0.8600583546412883,1242.9593917009379,0.7565932872025407,22875.73262323049,67047.29497139074
16,horizon,1,0,0,资金+需求,False,False,True,0.6666666666666666,0.6666666666666666,27055.733918605278,1652205547.5769691,16522055475.769691,22085.78117408013,24424.296494559214,2631.437424046064,0.0,2631.437424046064,25945.777707728077,-69141.35970536702,44171.56234816026,-24969.797357206764,0.8514577710948754,2240.557843853902,0.7426542133780447,23985.688834107685,68157.25118226794
17,horizon,1,0,0,资金+需求,False,False,True,0.7083333333333334,0.7083333333333334,28217.103001325384,1755468394.3005297,17554683943.0053,22085.78117408013,24451.70480491141,3765.398196413975,0.0,3765.398196413975,27155.80985905625,-66437.25465122217,44171.56234816026,-22265.692303061915,0.8429431933839266,3174.0167800472736,0.7289719456637418,25046.98197637679,69218.54432453704
18,horizon,1,0,0,资金+需求,False,False,True,0.75,0.75,29326.49581460951,1858731241.0240903,18587312410.240902,22085.78117408013,24477.886475304913,4848.609339304596,0.0,4848.609339304596,28312.449401823003,-62602.691724704084,44171.56234816026,-18431.129376543824,0.8345137614500874,4046.231217545101,0.7155417527999328,26061.028389163315,70232.59073732357
19,horizon,1,0,0,资金+需求,False,False,True,0.7916666666666666,0.7916666666666666,30385.43332812047,1961994087.7476509,19619940877.47651,22085.78117408013,24502.877400623773,5882.555927496698,0.0,5882.555927496698,29417.252976028656,-57688.3161492992,44171.56234816026,-13516.75380113894,0.8261686238355865,4859.983135255819,0.7023589906931399,27029.208741255105,71200.77108941536
20,horizon,1,0,0,资金+需求,False,False,True,0.8333333333333334,0.8333333333333334,31395.398110449194,2065256934.4712114,20652569344.712116,22085.78117408013,24526.71256948673,6868.685540962462,0.0,6868.685540962462,30471.737986998673,-51743.29073178726,44171.56234816026,-7571.728383627,0.8179069375972307,5617.945556126985,0.6894191008102029,27952.86886470561,72124.43121286586
21,horizon,1,0,0,资金+需求,False,False,True,0.875,0.875,32357.835227822638,2168519781.194772,21685197811.94772,22085.78117408013,24549.426085456744,7808.409142365894,0.0,7808.409142365894,31477.38352269995,-44815.33329454405,44171.56234816026,-643.7709463837891,0.8097278682212583,6322.686489047319,0.6767176086019611,28833.320569828327,73004.88291798858
22,horizon,1,0,0,资金,False,True,True,0.9166666666666666,0.9166666666666666,33274.153122731484,2271782627.9183326,22717826279.183327,22085.78117408013,24571.051187776593,8703.101934954891,0.0,8703.101934954891,32435.63125057414,-36950.7532317465,44171.56234816026,7220.809116413759,0.8016305895390458,6976.672734936299,0.6642501219559767,29671.842441985675,73843.40479014593
